subject,cycle_idx,dtw_dist
1,1,266.56372930999163
1,2,539.389856187891
1,3,304.3253466211326
1,4,436.499109879003
1,5,486.46506942533597
1,6,519.967143268076
1,7,432.2050489393357
1,8,163.19900352269408
1,9,317.51547359891714
1,10,641.2742683149261
1,11,571.0993310154571
1,12,420.62340691473
1,13,858.7963375427644
1,14,570.9753891609558
1,15,309.913031304243
10,1,554.43762043746
10,2,877.1598848241761
10,3,1027.9603600613286
10,4,783.0588300318102
10,5,324.5539860348231
10,6,1380.0496059171592
10,7,698.6632072537564
10,8,769.4138042571722
10,9,942.0059670458917
10,10,534.7257738989865
10,11,702.1378077847946
10,12,492.4530310842038
10,13,653.923955363795
10,14,718.4760744615766
11,1,694.3075134533356
11,2,952.5098742486136
11,3,805.2639763368416
11,4,642.55635813858
11,5,592.8452913981349
11,6,1278.3930014362872
11,7,703.6751415665032
11,8,794.2198087187988
11,9,1133.7891463565143
11,10,454.5549291441466
11,11,273.565939322729
11,12,439.7589540695798
11,13,2183.1040172353482
11,14,965.9179162324016
13,1,408.61874036797525
13,2,649.6666946550926
13,3,575.1096542493757
13,4,1329.5878321260861
13,5,327.4779264723449
13,6,162.0276349093112
13,7,380.4337727828707
13,8,619.3753247131219
13,9,833.685830006161
13,10,302.0497651437816
13,11,311.5932260290138
13,12,1519.8597032914329
13,13,696.7646816571595
13,14,200.84797769211315
13,15,490.0710042749229
13,16,291.6553617873709
13,17,337.5765189097571
14,1,813.6300762561519
14,2,1067.584250165299
14,3,739.9113784672351
14,4,618.0087821180108
14,5,375.7071300882885
14,6,1826.1578885583683
14,7,316.9985711544423
14,8,823.4462755491121
14,9,629.8893184820759
14,10,1434.8412674626795
14,11,1696.0308060526866
14,12,682.7039769778346
14,13,1286.6451864092883
14,14,328.6860081412034
14,15,1635.9162774670212
15,1,306.3116811036899
15,2,544.0868088858889
15,3,677.0775636033889
15,4,1763.8818841116304
15,5,544.8498787876416
15,6,1113.2906174152834
15,7,396.0698640279048
15,8,408.06096996306604
15,9,269.23086514213054
15,10,321.5966007875295
15,11,414.6398255066254
15,12,589.7868693109558
15,13,990.0130100155756
15,14,1350.1773865721048
15,15,318.5973960793617
15,16,332.8446708931871
15,17,751.7041851525382
16,1,299.89812176482343
16,2,242.984345972611
16,3,531.9383376170416
16,4,620.9974542298463
16,5,222.077667937756
16,6,707.6276445482991
16,7,259.9468855280725
16,8,1185.317773157699
16,9,423.7396684938526
16,10,153.79431127656412
16,11,382.4712191185243
16,12,321.1590390311191
16,13,1145.9123591697023
16,14,591.9096073380632
16,15,537.7918628165388
16,16,232.0733899696462
17,1,1083.238840464596
17,2,539.807706920401
17,3,525.1284761751102
17,4,221.3475804346081
17,5,283.3200725879553
17,6,561.5894380718732
17,7,608.2735890859311
17,8,310.98855945890574
17,9,254.7859121472205
17,10,338.7520636107291
17,11,588.3875551728454
17,12,1610.6077529841568
17,13,619.110198237748
17,14,1290.9019445886224
17,15,361.6447855730292
18,1,695.537066454824
18,2,731.7041522942849
18,3,196.82516045117538
18,4,260.45951675041687
18,5,1519.723883117353
18,6,494.2845928391704
18,7,681.9635744176977
18,8,864.9657617512169
18,9,726.2917729656845
18,10,221.55707057496537
18,11,1258.4747248171411
18,12,370.0848475277462
18,13,650.9522425984441
18,14,1550.34204241525
18,15,120.06126248927465
2,1,822.7793906037406
2,2,492.96776447161784
2,3,833.3195903055714
2,4,612.0950245879967
2,5,450.2760180386183
2,6,357.43347093247934
2,7,282.6666274213541
2,8,615.1454664706229
2,9,867.3209862157363
2,10,678.4184202663594
2,11,552.6840664703062
2,12,1742.1918506069499
2,13,1250.371087652726
2,14,585.7925018946895
23,1,755.2722538259334
23,2,614.1241572611605
23,3,962.8448770274002
23,4,732.1211152080971
23,5,764.6102761213281
23,6,860.3892935394089
23,7,1155.0157627106757
23,8,1350.0126182272113
23,9,680.0838895711067
23,10,582.6368261795172
23,11,769.1202878261807
24,1,862.3198432387187
24,2,844.2151093480704
24,3,765.0203844353848
24,4,1088.3100057885079
24,5,1044.7186443626097
24,6,950.9173836759173
24,7,776.0931676728582
24,8,1122.9651672960342
24,9,1214.329624577251
24,10,1603.7998800100997
24,11,959.6608869205537
24,12,740.4342264717848
24,13,951.4802464038966
24,14,1169.7793807891114
24,15,1367.103495884012
25,1,622.737952634144
25,2,752.1270482591415
25,3,1083.323724303892
25,4,799.4398276417237
25,5,754.0506497183195
25,6,774.4332273151975
25,7,1646.0362477855062
25,8,2140.1780693237315
25,9,884.0544919556111
25,10,653.6825928123407
25,11,692.9584042500555
26,1,1614.235245106795
26,2,939.7673640582933
26,3,468.48009664859006
26,4,501.02844160006316
26,5,1265.466835173168
26,6,1095.9628619997127
26,7,1701.1635846608099
26,8,764.7624946650044
26,9,511.1293314100862
26,10,455.10122758611544
26,11,773.2946919105761
26,12,774.5700396285653
